Frame_Index,Time_ms,Height_cm
1,17.25,150
2,34.49,150
3,51.74,150
4,68.99,150
5,86.24,150
6,103.48,150
7,120.73,150
8,137.98,150
9,155.22,150
10,172.47,150
11,189.72,150
12,206.97,150
13,224.21,150
14,241.46,149.76
15,258.71,147.92
16,275.95,145.52
17,293.2,143.52
18,310.45,140.96
19,327.7,137.76
20,344.94,135.2
21,362.19,131.92
22,379.44,127.83
23,396.68,124.58
24,413.93,120.33
25,431.18,115.3
26,448.43,111.57
27,465.67,106.27
28,482.92,100.18
29,500.17,96.09
30,517.41,90.0
31,534.66,83.45
32,551.91,79.14
33,569.16,71.81
34,586.4,64.6
35,603.65,59.37
36,620.9,51.05
37,638.15,43.2
38,655.39,37.42
39,672.64,28.89
40,689.89,20.11
41,707.13,13.89
42,724.38,4.12
43,741.63,0
44,758.88,1.5
45,776.12,11.11
46,793.37,18.78
47,810.62,24.0
48,827.86,31.51
49,845.11,38.71
50,862.36,42.78
51,879.61,49.59
52,896.85,55.05
53,914.1,59.58
54,931.35,65.0
55,948.59,69.8
56,965.84,72.57
57,983.09,77.14
58,1000.34,80.73
59,1017.58,83.45
60,1034.83,86.73
61,1052.08,89.64
62,1069.32,91.18
63,1086.57,93.73
64,1103.82,95.64
65,1121.07,96.82
66,1138.31,98.36
67,1155.56,99.27
68,1172.81,99.73
69,1190.05,100.09
70,1207.3,100.09
71,1224.55,99.91
72,1241.8,99.36
73,1259.04,98.64
74,1276.29,97.73
75,1293.54,96.09
76,1310.78,94.36
77,1328.03,92.73
78,1345.28,91.09
79,1362.53,90.18
80,1379.77,94.64
