Frame_Index,Time_ms,Height_cm
1,17.29,154.44
2,34.59,154.44
3,51.88,154.44
4,69.18,154.44
5,86.47,154.44
6,103.77,154.27
7,121.06,154.19
8,138.35,154.11
9,155.65,153.95
10,172.94,153.79
11,190.24,153.39
12,207.53,152.82
13,224.82,151.85
14,242.12,150.24
15,259.41,149.03
16,276.71,147.18
17,294.0,144.84
18,311.3,143.06
19,328.59,140.16
20,345.88,137.06
21,363.18,134.68
22,380.47,131.03
23,397.77,127.08
24,415.06,124.0
25,432.36,119.3
26,449.65,114.39
27,466.94,110.7
28,484.24,105.09
29,501.53,99.18
30,518.83,95.0
31,536.12,88.82
32,553.42,82.36
33,570.71,77.55
34,588.0,70.47
35,605.3,63.1
36,622.59,57.55
37,639.89,48.88
38,657.18,41.02
39,674.47,35.0
40,691.77,25.67
41,709.06,17.0
42,726.36,10.44
43,743.65,0
44,760.95,0
45,778.24,6.12
46,795.53,15.22
47,812.83,22.67
48,830.12,28.22
49,847.42,35.76
50,864.71,42.35
51,882.01,46.94
52,899.3,53.3
53,916.59,59.04
54,933.89,62.9
55,951.18,68.2
56,968.48,72.74
57,985.77,75.75
58,1003.07,79.81
59,1020.36,83.09
60,1037.65,85.64
61,1054.95,88.64
62,1072.24,91.18
63,1089.54,92.91
64,1106.83,94.91
65,1124.12,96.64
66,1141.42,97.73
67,1158.71,98.73
68,1176.01,99.55
69,1193.3,99.82
70,1210.6,99.91
71,1227.89,99.64
72,1245.18,99.27
73,1262.48,98.36
74,1279.77,97.18
