Frame_Index,Time_ms,Height_cm
1,17.42,150
2,34.83,150
3,52.25,150
4,69.66,150
5,87.08,150
6,104.49,150
7,121.91,148.88
8,139.33,147.44
9,156.74,145.12
10,174.16,142.64
11,191.57,140.56
12,208.99,137.44
13,226.4,134.16
14,243.82,131.52
15,261.24,127.42
16,278.65,123.17
17,296.07,119.91
18,313.48,114.78
19,330.9,109.82
20,348.31,105.82
21,365.73,99.64
22,383.15,93.82
23,400.56,89.36
24,417.98,82.64
25,435.39,76.19
26,452.81,71.14
27,470.22,63.3
28,487.64,55.79
29,505.06,49.9
30,522.47,41.5
31,539.89,33.22
32,557.3,26.89
33,574.72,17.22
34,592.13,8.38
35,609.55,0.75
36,626.96,0
37,644.38,1.62
38,661.8,8.88
39,679.21,17.44
40,696.63,24.56
41,714.04,30.11
42,731.46,37.56
43,748.87,43.8
44,766.29,48.2
45,783.71,54.32
46,801.12,60.0
47,818.54,63.7
48,835.95,68.7
49,853.37,73.24
50,870.78,76.19
51,888.2,80.0
52,905.62,83.45
53,923.03,85.64
54,940.45,88.36
55,957.86,90.82
56,975.28,92.45
57,992.69,94.27
58,1010.11,95.73
59,1027.53,96.64
60,1044.94,97.45
61,1062.36,98.0
62,1079.77,98.18
