Frame_Index,Time_ms,Height_cm
1,17.08,150
2,34.16,150
3,51.24,150
4,68.33,150
5,85.41,150
6,102.49,150
7,119.57,150
8,136.65,150
9,153.73,150
10,170.81,150
11,187.89,150
12,204.98,150
13,222.06,150
14,239.14,150
15,256.22,150
16,273.3,150
17,290.38,150
18,307.46,150
19,324.54,150
20,341.63,150
21,358.71,150
22,375.79,150
23,392.87,150
24,409.95,150
25,427.03,150
26,444.11,150
27,461.2,150
28,478.28,150
29,495.36,150
30,512.44,150
31,529.52,149.52
32,546.6,147.6
33,563.68,146.0
34,580.76,143.76
35,597.85,141.04
36,614.93,138.8
37,632.01,135.84
38,649.09,132.32
39,666.17,129.58
40,683.25,125.58
41,700.33,121.25
42,717.41,117.91
43,734.5,112.96
44,751.58,107.45
45,768.66,103.64
46,785.74,97.82
47,802.82,91.55
48,819.9,87.36
49,836.98,80.82
50,854.07,74.1
51,871.15,69.1
52,888.23,61.3
53,905.31,53.68
54,922.39,48.04
55,939.47,39.68
56,956.55,31.29
57,973.63,25.11
58,990.72,15.78
59,1007.8,6.88
60,1024.88,0
61,1041.96,1.5
62,1059.04,10.56
63,1076.12,16.22
64,1093.2,24.33
65,1110.28,31.61
66,1127.37,36.56
67,1144.45,43.51
68,1161.53,49.48
69,1178.61,53.79
70,1195.69,59.79
71,1212.77,64.9
72,1229.85,68.5
73,1246.94,73.24
74,1264.02,77.05
75,1281.1,80.09
76,1298.18,83.55
77,1315.26,86.64
78,1332.34,88.82
79,1349.42,91.36
80,1366.5,93.55
81,1383.59,95.0
82,1400.67,96.73
83,1417.75,98.0
84,1434.83,98.73
85,1451.91,99.55
86,1468.99,99.82
87,1486.07,99.91
88,1503.15,99.73
89,1520.24,99.09
90,1537.32,98.45
91,1554.4,97.27
92,1571.48,95.82
93,1588.56,94.55
94,1605.64,91.55
95,1622.72,92.91
96,1639.81,94.91
97,1656.89,98.55
98,1673.97,101.36
99,1691.05,103.64
100,1708.13,105.73
101,1725.21,107.64
102,1742.29,109.09
103,1759.37,111.13
104,1776.46,113.22
105,1793.54,114.61
106,1810.62,116.52
107,1827.7,118.26
108,1844.78,119.48
109,1861.86,121.25
110,1878.94,122.75
111,1896.02,124.08
112,1913.11,125.83
