Frame_Index,Time_ms,Height_cm
1,17.14,150
2,34.28,150
3,51.42,150
4,68.56,150
5,85.7,150
6,102.84,150
7,119.98,150
8,137.12,150
9,154.26,150
10,171.41,150
11,188.55,150
12,205.69,150
13,222.83,150
14,239.97,150
15,257.11,150
16,274.25,150
17,291.39,150
18,308.53,150
19,325.67,150
20,342.81,150
21,359.95,150
22,377.09,150
23,394.23,150
24,411.37,150
25,428.51,150
26,445.65,150
27,462.79,150
28,479.94,150
29,497.08,150
30,514.22,150
31,531.36,150
32,548.5,150
33,565.64,150
34,582.78,150
35,599.92,148.8
36,617.06,146.72
37,634.2,144.56
38,651.34,142.56
39,668.48,139.68
40,685.62,136.72
41,702.76,134.16
42,719.9,130.32
43,737.04,126.5
44,754.18,123.33
45,771.32,118.43
46,788.46,113.83
47,805.61,110.0
48,822.75,104.0
49,839.89,98.91
50,857.03,94.18
51,874.17,87.64
52,891.31,81.91
53,908.45,76.76
54,925.59,69.3
55,942.73,63.0
56,959.87,56.63
57,977.01,48.04
58,994.15,41.34
59,1011.29,34.41
60,1028.43,25.11
61,1045.57,17.44
62,1062.71,10.33
63,1079.85,0
64,1096.99,0
65,1114.14,2.38
66,1131.28,11.67
67,1148.42,18.22
68,1165.56,24.56
69,1182.7,32.26
70,1199.84,38.06
71,1216.98,43.3
72,1234.12,49.59
73,1251.26,54.74
74,1268.4,59.26
75,1285.54,64.6
76,1302.68,69.0
77,1319.82,72.29
78,1336.96,76.57
79,1354.1,80.0
80,1371.24,82.45
81,1388.38,85.64
82,1405.52,88.09
83,1422.66,89.91
84,1439.81,92.18
85,1456.95,93.82
86,1474.09,94.91
87,1491.23,96.18
88,1508.37,96.82
89,1525.51,97.27
90,1542.65,97.55
91,1559.79,97.36
92,1576.93,97.09
93,1594.07,96.27
94,1611.21,95.18
95,1628.35,94.82
96,1645.49,92.64
97,1662.63,94.73
98,1679.77,96.73
