Frame_Index,Time_ms,Height_cm
1,16.67,153.76
2,33.33,153.68
3,50.0,153.84
4,66.67,153.84
5,83.33,153.76
6,100.0,153.68
7,116.67,153.92
8,133.33,153.76
9,150.0,153.68
10,166.67,153.68
11,183.33,153.6
12,200.0,153.68
13,216.67,153.76
14,233.33,153.68
15,250.0,153.68
16,266.67,153.52
17,283.33,153.28
18,300.0,153.04
19,316.67,152.4
20,333.33,151.28
21,350.0,150.32
22,366.67,148.56
23,383.33,146.56
24,400.0,145.04
25,416.67,142.48
26,433.33,139.68
27,450.0,137.44
28,466.67,134.0
29,483.33,130.4
30,500.0,127.58
31,516.67,123.17
32,533.33,118.78
33,550.0,115.22
34,566.67,109.82
35,583.33,104.36
36,600.0,100.36
37,616.67,94.09
38,633.33,88.55
39,650.0,83.73
40,666.67,76.76
41,683.33,70.0
42,700.0,64.9
43,716.67,57.05
44,733.33,49.38
45,750.0,43.71
46,766.67,35.05
47,783.33,27.11
48,800.0,20.78
49,816.67,11.33
50,833.33,2.88
51,850.0,0
52,866.67,4.75
53,883.33,12.67
54,900.0,18.56
55,916.67,26.44
56,933.33,32.9
57,950.0,38.06
58,966.67,44.64
59,983.33,50.11
60,1000.0,54.42
61,1016.67,60.2
62,1033.33,64.9
63,1050.0,68.6
64,1066.67,73.05
65,1083.33,76.67
66,1100.0,79.52
67,1116.67,82.91
68,1133.33,85.64
69,1150.0,87.73
70,1166.67,90.09
71,1183.33,92.09
72,1200.0,93.36
73,1216.67,95.0
74,1233.33,96.09
75,1250.0,96.64
76,1266.67,97.18
77,1283.33,97.36
78,1300.0,97.36
79,1316.67,96.91
80,1333.33,96.09
81,1350.0,95.36
82,1366.67,93.91
83,1383.33,92.36
