Frame_Index,Time_ms,Height_cm
1,17.37,150
2,34.74,150
3,52.11,150
4,69.48,150
5,86.85,150
6,104.22,150
7,121.59,149.84
8,138.96,148.48
9,156.33,146.4
10,173.7,144.32
11,191.07,142.16
12,208.44,139.12
13,225.81,136.08
14,243.18,133.6
15,260.55,129.67
16,277.92,125.75
17,295.29,122.5
18,312.67,117.57
19,330.04,112.78
20,347.41,109.0
21,364.78,103.0
22,382.15,97.65
23,399.52,93.22
24,416.89,86.57
25,434.26,80.29
26,451.63,75.14
27,469.0,67.5
28,486.37,60.6
29,503.74,54.63
30,521.11,45.89
31,538.48,38.63
32,555.85,32.11
33,573.22,22.78
34,590.59,14.89
35,607.96,7.75
36,625.33,0
37,642.7,0
38,660.07,4.88
39,677.44,14.0
40,694.81,20.67
41,712.18,26.78
42,729.55,34.21
43,746.92,40.21
44,764.29,45.37
45,781.66,51.89
46,799.03,57.26
47,816.4,61.5
48,833.77,66.9
49,851.14,71.05
50,868.51,74.48
51,885.88,78.76
52,903.25,82.29
53,920.63,84.76
54,938.0,88.0
55,955.37,90.61
56,972.74,92.35
57,990.11,94.52
58,1007.48,96.0
59,1024.85,97.13
60,1042.22,98.26
61,1059.59,98.96
62,1076.96,99.3
63,1094.33,99.57
64,1111.7,99.39
65,1129.07,99.04
66,1146.44,98.61
