Frame_Index,Time_ms,Height_cm
1,17.26,150
2,34.52,150
3,51.79,150
4,69.05,150
5,86.31,150
6,103.57,150
7,120.83,150
8,138.1,150
9,155.36,150
10,172.62,150
11,189.88,150
12,207.14,149.2
13,224.41,147.84
14,241.67,145.76
15,258.93,143.12
16,276.19,141.12
17,293.45,138.08
18,310.72,134.72
19,327.98,132.16
20,345.24,128.33
21,362.5,124.0
22,379.76,120.83
23,397.03,116.0
24,414.29,110.87
25,431.55,106.73
26,448.81,101.0
27,466.08,95.04
28,483.34,90.96
29,500.6,84.38
30,517.86,77.43
31,535.12,72.57
32,552.39,65.3
33,569.65,57.47
34,586.91,51.89
35,604.17,43.11
36,621.43,34.8
37,638.7,29.33
38,655.96,20.0
39,673.22,11.33
40,690.48,4.12
41,707.74,0
42,725.01,2.62
43,742.27,9.12
44,759.53,17.56
45,776.79,25.22
46,794.05,30.4
47,811.32,37.0
48,828.58,43.56
49,845.84,48.33
50,863.1,54.63
51,880.36,60.3
52,897.63,64.1
53,914.89,69.0
54,932.15,73.62
55,949.41,76.57
56,966.67,80.48
57,983.94,84.1
58,1001.2,86.48
59,1018.46,89.52
60,1035.72,92.09
61,1052.98,93.57
62,1070.25,95.48
63,1087.51,97.04
64,1104.77,98.0
65,1122.03,98.96
66,1139.29,99.57
67,1156.56,99.83
68,1173.82,99.83
69,1191.08,99.57
70,1208.34,99.04
71,1225.6,98.17
72,1242.87,97.04
73,1260.13,95.91
74,1277.39,94.35
75,1294.65,95.39
76,1311.91,97.04
77,1329.18,99.39
78,1346.44,102.91
