Frame_Index,Time_ms,Height_cm
1,17.31,150
2,34.62,150
3,51.93,150
4,69.25,150
5,86.56,150
6,103.87,150
7,121.18,150
8,138.49,150
9,155.8,149.36
10,173.12,148.08
11,190.43,146.0
12,207.74,143.6
13,225.05,141.6
14,242.36,138.8
15,259.67,135.68
16,276.99,132.96
17,294.3,129.33
18,311.61,125.25
19,328.92,122.08
20,346.23,117.39
21,363.54,112.52
22,380.86,108.55
23,398.17,102.91
24,415.48,97.09
25,432.79,92.73
26,450.1,86.45
27,467.41,79.9
28,484.73,75.24
29,502.04,67.8
30,519.35,60.5
31,536.66,54.95
32,553.97,46.7
33,571.28,39.22
34,588.6,32.89
35,605.91,23.56
36,623.22,15.11
37,640.53,8.38
38,657.84,0
39,675.15,1.62
40,692.47,8.5
41,709.78,17.0
42,727.09,24.22
43,744.4,29.67
44,761.71,37.11
45,779.02,43.2
46,796.34,47.8
47,813.65,53.79
48,830.96,59.26
49,848.27,63.2
50,865.58,68.2
51,882.89,72.57
52,900.21,75.52
53,917.52,79.62
54,934.83,82.91
55,952.14,85.27
56,969.45,88.18
57,986.76,90.73
58,1004.08,92.36
59,1021.39,94.27
60,1038.7,95.91
61,1056.01,96.82
62,1073.32,97.91
63,1090.63,98.55
64,1107.95,98.73
65,1125.26,98.73
66,1142.57,98.45
67,1159.88,97.91
68,1177.19,97.0
69,1194.5,95.64
70,1211.82,94.45
71,1229.13,92.55
72,1246.44,90.45
