Frame_Index,Time_ms,Height_cm
1,17.44,150
2,34.88,150
3,52.32,150
4,69.76,150
5,87.2,150
6,104.64,150
7,122.08,149.28
8,139.53,147.28
9,156.97,144.96
10,174.41,143.12
11,191.85,140.08
12,209.29,137.04
13,226.73,134.56
14,244.17,130.8
15,261.61,126.83
16,279.05,123.75
17,296.49,118.78
18,313.93,114.09
19,331.37,110.26
20,348.81,104.27
21,366.25,98.91
22,383.69,94.27
23,401.13,87.64
24,418.58,82.09
25,436.02,76.57
26,453.46,69.1
27,470.9,62.8
28,488.34,56.11
29,505.78,47.63
30,523.22,40.82
31,540.66,33.76
32,558.1,24.44
33,575.54,17.0
34,592.98,9.38
35,610.42,0
36,627.86,0
37,645.3,4.38
38,662.74,13.67
39,680.19,20.11
40,697.63,26.44
41,715.07,33.98
42,732.51,39.68
43,749.95,44.74
44,767.39,51.16
45,784.83,56.32
46,802.27,60.7
47,819.71,66.1
48,837.15,70.29
49,854.59,73.81
50,872.03,77.9
51,889.47,81.27
52,906.91,83.73
53,924.35,86.91
54,941.8,89.36
55,959.24,91.18
56,976.68,93.36
57,994.12,95.09
58,1011.56,96.18
59,1029.0,97.36
60,1046.44,98.09
