Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
11,189.72,153.36,0.56,0.0,0.0,0.0,0.0
13,224.21,150.96,1.36,0.0345,0.0012,2.04,4.08
15,258.71,147.92,1.84,0.069,0.0048,5.08,10.16
17,293.2,143.52,2.0,0.1035,0.0107,9.48,18.96
19,327.7,137.76,3.2,0.138,0.019,15.24,30.48
22,379.44,127.83,4.09,0.1897,0.036,25.17,50.34
24,413.93,120.33,4.25,0.2242,0.0503,32.67,65.34
26,448.43,111.57,3.73,0.2587,0.0669,41.43,82.86
28,482.92,100.18,6.09,0.2932,0.086,52.82,105.64
30,517.41,90.0,6.09,0.3277,0.1074,63.0,126.0
33,569.16,71.81,7.33,0.3794,0.144,81.19,162.38
35,603.65,59.37,5.23,0.4139,0.1713,93.63,187.26
37,638.15,43.2,7.85,0.4484,0.2011,109.8,219.6
39,672.64,28.89,8.53,0.4829,0.2332,124.11,248.22
42,724.38,4.12,9.77,0.5347,0.2859,148.88,297.76
