Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
12,207.53,152.82,0.57,0.0,0.0,0.0,0.0
14,242.12,150.24,1.61,0.0346,0.0012,1.76,3.52
16,276.71,147.18,1.85,0.0692,0.0048,4.82,9.64
18,311.3,143.06,1.78,0.1038,0.0108,8.94,17.88
20,345.88,137.06,3.1,0.1384,0.0191,14.94,29.88
22,380.47,131.03,3.65,0.1729,0.0299,20.97,41.94
24,415.06,124.0,3.08,0.2075,0.0431,28.0,56.0
27,466.94,110.7,3.69,0.2594,0.0673,41.3,82.6
29,501.53,99.18,5.91,0.294,0.0864,52.82,105.64
31,536.12,88.82,6.18,0.3286,0.108,63.18,126.36
33,570.71,77.55,4.81,0.3632,0.1319,74.45,148.9
35,605.3,63.1,7.37,0.3978,0.1582,88.9,177.8
37,639.89,48.88,8.67,0.4324,0.1869,103.12,206.24
39,674.47,35.0,6.02,0.4669,0.218,117.0,234.0
42,726.36,10.44,6.56,0.5188,0.2692,141.56,283.12
