Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
7,121.91,148.88,1.12,0.0,0.0,0.0,0.0
8,139.33,147.44,1.44,0.0174,0.0003,0.56,1.12
10,174.16,142.64,2.48,0.0522,0.0027,5.36,10.72
12,208.99,137.44,3.12,0.0871,0.0076,10.56,21.12
14,243.82,131.52,2.64,0.1219,0.0149,16.48,32.96
16,278.65,123.17,4.25,0.1567,0.0246,24.83,49.66
18,313.48,114.78,5.13,0.1916,0.0367,33.22,66.44
20,348.31,105.82,4.0,0.2264,0.0513,42.18,84.36
22,383.15,93.82,5.82,0.2612,0.0682,54.18,108.36
24,417.98,82.64,6.72,0.2961,0.0877,65.36,130.72
26,452.81,71.14,5.05,0.3309,0.1095,76.86,153.72
28,487.64,55.79,7.51,0.3657,0.1338,92.21,184.42
30,522.47,41.5,8.4,0.4006,0.1604,106.5,213.0
32,557.3,26.89,6.33,0.4354,0.1896,121.11,242.22
34,592.13,8.38,8.84,0.4702,0.2211,139.62,279.24
