Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
32,546.6,147.6,1.92,0.0,0.0,0.0,0.0
33,563.68,146.0,1.6,0.0171,0.0003,1.0,2.0
35,597.85,141.04,2.72,0.0512,0.0026,5.96,11.92
37,632.01,135.84,2.96,0.0854,0.0073,11.16,22.32
39,666.17,129.58,2.74,0.1196,0.0143,17.42,34.84
41,700.33,121.25,4.33,0.1537,0.0236,25.75,51.5
43,734.5,112.96,4.95,0.1879,0.0353,34.04,68.08
45,768.66,103.64,3.81,0.2221,0.0493,43.36,86.72
47,802.82,91.55,6.27,0.2562,0.0656,55.45,110.9
49,836.98,80.82,6.54,0.2904,0.0843,66.18,132.36
51,871.15,69.1,5.0,0.3245,0.1053,77.9,155.8
53,905.31,53.68,7.62,0.3587,0.1287,93.32,186.64
55,939.47,39.68,8.36,0.3929,0.1543,107.32,214.64
57,973.63,25.11,6.18,0.427,0.1824,121.89,243.78
59,1007.8,6.88,8.9,0.4612,0.2127,140.12,280.24
