Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
35,599.92,148.8,1.2,0.0,0.0,0.0,0.0
36,617.06,146.72,2.08,0.0171,0.0003,1.28,2.56
38,651.34,142.56,2.0,0.0514,0.0026,5.44,10.88
40,685.62,136.72,2.96,0.0857,0.0073,11.28,22.56
42,719.9,130.32,3.84,0.12,0.0144,17.68,35.36
44,754.18,123.33,3.17,0.1543,0.0238,24.67,49.34
46,788.46,113.83,4.6,0.1885,0.0355,34.17,68.34
48,822.75,104.0,6.0,0.2228,0.0497,44.0,88.0
50,857.03,94.18,4.73,0.2571,0.0661,53.82,107.64
52,891.31,81.91,5.73,0.2914,0.0849,66.09,132.18
54,925.59,69.3,7.46,0.3257,0.1061,78.7,157.4
56,959.87,56.63,6.37,0.36,0.1296,91.37,182.74
58,994.15,41.34,6.7,0.3942,0.1554,106.66,213.32
60,1028.43,25.11,9.3,0.4285,0.1836,122.89,245.78
62,1062.71,10.33,7.11,0.4628,0.2142,137.67,275.34
