Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
19,327.3,153.06,0.65,0.0,0.0,0.0,0.0
21,361.75,150.97,0.97,0.0344,0.0012,2.03,4.06
23,396.2,147.18,2.01,0.0689,0.0047,5.82,11.64
25,430.65,143.06,2.59,0.1033,0.0107,9.94,19.88
27,465.11,138.02,2.22,0.1378,0.019,14.98,29.96
30,516.79,128.25,2.78,0.1895,0.0359,24.75,49.5
32,551.24,119.47,4.36,0.2239,0.0501,33.53,67.06
34,585.69,110.44,5.44,0.2584,0.0668,42.56,85.12
36,620.14,101.0,4.0,0.2928,0.0858,52.0,104.0
38,654.59,89.18,5.55,0.3273,0.1071,63.82,127.64
41,706.27,70.75,6.7,0.379,0.1436,82.25,164.5
43,740.73,57.87,7.83,0.4134,0.1709,95.13,190.26
45,775.18,44.49,5.62,0.4479,0.2006,108.51,217.02
47,809.63,27.89,7.98,0.4823,0.2326,125.11,250.22
50,861.31,3.75,8.36,0.534,0.2852,149.25,298.5
