Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
8,138.96,148.48,1.36,0.0,0.0,0.0,0.0
9,156.33,146.4,2.08,0.0174,0.0003,1.6,3.2
11,191.07,142.16,2.16,0.0521,0.0027,5.84,11.68
13,225.81,136.08,3.04,0.0868,0.0075,11.92,23.84
15,260.55,129.67,3.93,0.1216,0.0148,18.33,36.66
17,295.29,122.5,3.25,0.1563,0.0244,25.5,51.0
19,330.04,112.78,4.79,0.1911,0.0365,35.22,70.44
21,364.78,103.0,6.0,0.2258,0.051,45.0,90.0
23,399.52,93.22,4.43,0.2606,0.0679,54.78,109.56
25,434.26,80.29,6.28,0.2953,0.0872,67.71,135.42
27,469.0,67.5,7.64,0.33,0.1089,80.5,161.0
29,503.74,54.63,5.97,0.3648,0.1331,93.37,186.74
31,538.48,38.63,7.26,0.3995,0.1596,109.37,218.74
33,573.22,22.78,9.33,0.4343,0.1886,125.22,250.44
35,607.96,7.75,7.14,0.469,0.22,140.25,280.5
