Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
12,207.14,149.2,0.8,0.0,0.0,0.0,0.0
13,224.41,147.84,1.36,0.0173,0.0003,1.16,2.32
15,258.93,143.12,2.64,0.0518,0.0027,5.88,11.76
17,293.45,138.08,3.04,0.0863,0.0074,10.92,21.84
19,327.98,132.16,2.56,0.1208,0.0146,16.84,33.68
21,362.5,124.0,4.33,0.1554,0.0241,25.0,50.0
23,397.03,116.0,4.83,0.1899,0.0361,33.0,66.0
25,431.55,106.73,4.14,0.2244,0.0504,42.27,84.54
27,466.08,95.04,5.96,0.2589,0.067,53.96,107.92
29,500.6,84.38,6.58,0.2935,0.0861,64.62,129.24
31,535.12,72.57,4.86,0.328,0.1076,76.43,152.86
33,569.65,57.47,7.83,0.3625,0.1314,91.53,183.06
35,604.17,43.11,8.78,0.397,0.1576,105.89,211.78
37,638.7,29.33,5.47,0.4316,0.1862,119.67,239.34
39,673.22,11.33,8.67,0.4661,0.2172,137.67,275.34
