Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
9,155.8,149.36,0.64,0.0,0.0,0.0,0.0
11,190.43,146.0,2.08,0.0346,0.0012,3.0,6.0
13,225.05,141.6,2.0,0.0693,0.0048,7.4,14.8
15,259.67,135.68,3.12,0.1039,0.0108,13.32,26.64
17,294.3,129.33,3.63,0.1385,0.0192,19.67,39.34
19,328.92,122.08,3.17,0.1731,0.03,26.92,53.84
21,363.54,112.52,4.87,0.2077,0.0432,36.48,72.96
23,398.17,102.91,5.64,0.2424,0.0587,46.09,92.18
25,432.79,92.73,4.36,0.277,0.0767,56.27,112.54
27,467.41,79.9,6.55,0.3116,0.0971,69.1,138.2
29,502.04,67.8,7.44,0.3462,0.1199,81.2,162.4
31,536.66,54.95,5.55,0.3809,0.1451,94.05,188.1
33,571.28,39.22,7.48,0.4155,0.1726,109.78,219.56
35,605.91,23.56,9.33,0.4501,0.2026,125.44,250.88
37,640.53,8.38,6.73,0.4847,0.235,140.62,281.24
