Frame_Index,Time_ms,Height_cm,v_temp,t (s),t^2 (s^2),h (cm),2h (cm)
7,122.08,149.28,0.72,0.0,0.0,0.0,0.0
8,139.53,147.28,2.0,0.0175,0.0003,1.72,3.44
10,174.41,143.12,1.84,0.0523,0.0027,5.88,11.76
12,209.29,137.04,3.04,0.0872,0.0076,11.96,23.92
14,244.17,130.8,3.76,0.1221,0.0149,18.2,36.4
16,279.05,123.75,3.08,0.157,0.0246,25.25,50.5
18,313.93,114.09,4.69,0.1919,0.0368,34.91,69.82
20,348.81,104.27,5.99,0.2267,0.0514,44.73,89.46
22,383.69,94.27,4.64,0.2616,0.0684,54.73,109.46
24,418.58,82.09,5.55,0.2965,0.0879,66.91,133.82
26,453.46,69.1,7.47,0.3314,0.1098,79.9,159.8
28,488.34,56.11,6.69,0.3663,0.1341,92.89,185.78
30,523.22,40.82,6.81,0.4011,0.1609,108.18,216.36
32,558.1,24.44,9.32,0.436,0.1901,124.56,249.12
34,592.98,9.38,7.62,0.4709,0.2217,139.62,279.24
